bdrc-W5JW3	3324646387	iw904604	11.5h	derive	red
bdrc-W2CZ8093	3324449789	iw902903	17.4h	derive	red
bdrc-W30086	3324449749	iw802701	17.4h	derive	red
bdrc-W2CZ8024	3324428849	iw800602	18.0h	derive	red
bdrc-W27300	3324387140	iw802604	19.2h	derive	red
bdrc-W1PD95746	3324102127	iw802303	1.2d	derive	red
bdrc-W1PD179846	3323840201	iw804605	1.5d	derive	red
bdrc-W1PD177853	3323840017	iw902603	1.5d	derive	red
bdrc-W1KG4884	3323669649	iw804604	1.6d	derive	red
bdrc-W1KG5194	3323663832	iw800704	1.6d	derive	red
bdrc-W1KG2733	3323662439	iw600409	1.6d	derive	red
bdrc-W1KG25488	3323625246	iw804505	1.6d	derive	red
bdrc-W1NLM2696	3323416526	iw802605	1.8d	derive	red
bdrc-W1KG14743	3323395921	iw600707	1.9d	derive	red
bdrc-W2PD16917	3297023219	iw902602	26.6d	derive	red
bdrc-W8LS17156	3296901594	iw902904	26.7d	derive	red
bdrc-W8226	3296894463	iw800709	26.7d	derive	red
bdrc-W7499	3296893793	iw902904	26.7d	derive	red
bdrc-W669	3296892776	iw801601	26.7d	derive	red
bdrc-W3CN2688	3296587047	iw801705	27.0d	derive	red
bdrc-W3PD1100	3296074976	iw600702	27.4d	derive	red
bdrc-W3CN3416	3295575440	iw800309	27.8d	derive	red
bdrc-W30532	3295452914	iw904605	27.8d	derive	red
bdrc-W30452	3295397345	iw800702	27.9d	derive	red
bdrc-W30403	3295395409	iw902305	27.9d	derive	red
bdrc-W30398	3295395271	iw902605	27.9d	derive	red
bdrc-W30178	3295394131	iw902305	27.9d	derive	red
bdrc-W30152	3295392504	iw801609	27.9d	derive	red
bdrc-W30012	3295387730	iw902605	27.9d	derive	red
bdrc-W2PD17391	3295363560	iw902901	27.9d	derive	red
bdrc-W29468	3295345846	iw904603	27.9d	derive	red
bdrc-W29688	3295246126	iw800704	28.0d	derive	red
bdrc-W29897	3295239382	iw902901	28.0d	derive	red
bdrc-W29896	3295238112	iw802603	28.0d	derive	red
bdrc-W29686	3295226859	iw804605	28.0d	derive	red
bdrc-W29684	3295226002	iw902304	28.0d	derive	red
bdrc-W29670	3295224223	iw800309	28.0d	derive	red
bdrc-W29665	3295223789	iw903405	28.0d	derive	red
bdrc-W29663	3295223373	iw600407	28.0d	derive	red
bdrc-W29662	3295222986	iw902709	28.0d	derive	red
bdrc-W29661	3295222755	iw600708	28.0d	derive	red
bdrc-W29628	3295222533	iw600205	28.0d	derive	red
bdrc-W29648	3295222435	iw904605	28.0d	derive	red
bdrc-W29307	3295071115	iw904605	28.1d	derive	red
bdrc-W29295	3295042947	iw801608	28.1d	derive	red
bdrc-W29267	3295042748	iw902305	28.1d	derive	red
bdrc-W29233	3295041953	iw904603	28.1d	derive	red
bdrc-W29091	3295040446	iw600708	28.1d	derive	red
bdrc-W29032	3295040297	iw600702	28.1d	derive	red
bdrc-W29013	3295039268	iw902605	28.1d	derive	red
bdrc-W28936	3295035243	iw903403	28.1d	derive	red
bdrc-W28866	3295034069	iw902904	28.1d	derive	red
bdrc-W28839	3295032850	iw600205	28.1d	derive	red
bdrc-W28732	3295031765	iw903403	28.1d	derive	red
bdrc-W28834	3295031664	iw902305	28.1d	derive	red
bdrc-W27736	3295028891	iw902602	28.2d	derive	red
bdrc-W27495	3295022876	iw904605	28.2d	derive	red
bdrc-W27314	3295019787	iw800208	28.2d	derive	red
bdrc-W27016	3295018162	iw902606	28.2d	derive	red
bdrc-W26078	3295015432	iw600204	28.2d	derive	red
bdrc-W25985	3295012505	iw903405	28.2d	derive	red
bdrc-W25265	3295011025	iw601907	28.2d	derive	red
bdrc-W25263	3295010854	iw802606	28.2d	derive	red
bdrc-W25254	3295010565	iw904503	28.2d	derive	red
bdrc-W25245	3295010324	iw800700	28.2d	derive	red
bdrc-W25220	3295010070	iw801609	28.2d	derive	red
bdrc-W25213	3295009884	iw800208	28.2d	derive	red
bdrc-W25185	3295009321	iw800209	28.2d	derive	red
bdrc-W25184	3295008946	iw801609	28.2d	derive	red
bdrc-W25168	3295008666	iw804603	28.2d	derive	red
bdrc-W25167	3295008361	iw903403	28.2d	derive	red
bdrc-W25146	3295007886	iw902903	28.2d	derive	red
bdrc-W25006	3295002872	iw800209	28.2d	derive	red
bdrc-W24051	3295002306	iw800701	28.2d	derive	red
bdrc-W24766	3295001772	iw902806	28.2d	derive	red
bdrc-W24672	3294999788	iw902806	28.2d	derive	red
bdrc-W24679	3294999418	iw801804	28.2d	derive	red
bdrc-W24664	3294998278	iw902304	28.2d	derive	red
bdrc-W24575	3294997964	iw800706	28.2d	derive	red
bdrc-W23912	3294991149	iw904604	28.2d	derive	red
bdrc-W23830	3294982880	iw801609	28.2d	derive	red
bdrc-W23773	3294980424	iw902902	28.2d	derive	red
bdrc-W23664	3294973345	iw600205	28.2d	derive	red
bdrc-W23453	3294970545	iw904605	28.2d	derive	red
bdrc-W23198	3294968264	iw801207	28.2d	derive	red
bdrc-W23151	3294967862	iw600204	28.2d	derive	red
bdrc-W23175	3294965773	iw902904	28.2d	derive	red
bdrc-W22290	3294924223	iw800309	28.2d	derive	red
bdrc-W22165	3294921772	iw801208	28.2d	derive	red
bdrc-W21939	3294909111	iw802603	28.2d	derive	red
bdrc-W22103	3294899194	iw903404	28.3d	derive	red
bdrc-W22039	3294876150	iw600102	28.3d	derive	red
bdrc-W22010	3294874709	iw801209	28.3d	derive	red
bdrc-W21975	3294873721	iw800702	28.3d	derive	red
bdrc-W21923	3294518887	iw903403	28.5d	derive	red
bdrc-W21916	3294518595	iw902806	28.5d	derive	red
bdrc-W21896	3294517129	iw902900	28.5d	derive	red
bdrc-W21880	3294516031	iw600803	28.5d	derive	red
bdrc-W21871	3294515408	iw800401	28.5d	derive	red
bdrc-W21860	3294514162	iw801609	28.5d	derive	red
bdrc-W21793	3294465187	iw800701	28.5d	derive	red
bdrc-W21757	3294463719	iw600808	28.5d	derive	red
bdrc-W21743	3294463113	iw902900	28.5d	derive	red
bdrc-W21716	3294462944	iw802305	28.5d	derive	red
bdrc-W21693	3294462056	iw800200	28.5d	derive	red
bdrc-W21621	3294460774	iw804605	28.5d	derive	red
bdrc-W21620	3294460506	iw804605	28.5d	derive	red
bdrc-W21612	3294460011	iw600705	28.5d	derive	red
bdrc-W21611	3294459713	iw801705	28.5d	derive	red
bdrc-W21604	3294459171	iw804605	28.5d	derive	red
bdrc-W21597	3294458502	iw802602	28.5d	derive	red
bdrc-W21017	3294456805	iw902901	28.5d	derive	red
bdrc-W20916	3294456608	iw801705	28.5d	derive	red
bdrc-W20856	3294445300	iw904604	28.6d	derive	red
bdrc-W20849	3294444797	iw600102	28.6d	derive	red
bdrc-W2046	3294360333	iw800709	28.6d	derive	red
bdrc-W20517	3294340926	iw801208	28.6d	derive	red
bdrc-W20382	3294334393	iw902303	28.6d	derive	red
bdrc-W20454	3294320079	iw902709	28.6d	derive	red
bdrc-W20446	3294319791	iw902806	28.6d	derive	red
bdrc-W20432	3294319071	iw600704	28.6d	derive	red
bdrc-W20424	3294316382	iw801209	28.6d	derive	red
bdrc-W20411	3294315868	iw902902	28.6d	derive	red
bdrc-W20410	3294315798	iw902605	28.6d	derive	red
bdrc-W20397	3294314617	iw802606	28.6d	derive	red
bdrc-W20395	3294314372	iw600202	28.6d	derive	red
bdrc-W20393	3294313962	iw902903	28.6d	derive	red
bdrc-W20186	3294280304	iw903405	28.7d	derive	red
bdrc-W20184	3294280090	iw804605	28.7d	derive	red
bdrc-W20143	3294279590	iw904605	28.7d	derive	red
bdrc-W20141	3294279227	iw802701	28.7d	derive	red
bdrc-W20087	3294277600	iw600406	28.7d	derive	red
bdrc-W20081	3294277051	iw800704	28.7d	derive	red
bdrc-W1PD45495	3294060396	iw801600	28.8d	derive	red
bdrc-W1PD180878	3293989631	iw600402	28.8d	derive	red
bdrc-W1KG14783	3293920474	iw804604	28.8d	derive	red
bdrc-W1PD105855	3293865652	iw904605	28.9d	derive	red
bdrc-W1KG8897	3293853301	iw902707	28.9d	derive	red
bdrc-W1KG6288	3293831586	iw904603	28.9d	derive	red
bdrc-W1KG659	3293827083	iw801703	28.9d	derive	red
bdrc-W1KG6150	3293823430	iw800700	28.9d	derive	red
bdrc-W1KG6152	3293822845	iw804503	28.9d	derive	red
bdrc-W1KG6058	3293822677	iw902806	28.9d	derive	red
bdrc-W1KG5698	3293820238	iw804605	28.9d	derive	red
bdrc-W1KG5737	3293815109	iw801208	28.9d	derive	red
bdrc-W1KG24995	3293769428	iw801207	28.9d	derive	red
bdrc-W1KG17189	3293723759	iw802605	29.0d	derive	red
bdrc-W1KG17609	3293723681	iw800602	29.0d	derive	red
bdrc-W1KG16001	3293684175	iw801704	29.0d	derive	red
bdrc-W1KG15407	3293675826	iw802303	29.0d	derive	red
bdrc-W1KG14303	3293648835	iw804505	29.0d	derive	red
bdrc-W1KG13759	3293647629	iw800703	29.0d	derive	red
bdrc-W1KG14667	3293640838	iw803404	29.0d	derive	red
bdrc-W1FPL599	3293625503	iw903403	29.0d	derive	red
bdrc-W1FPL958	3293624462	iw800403	29.0d	derive	red
bdrc-W1FPL938	3293622816	iw600406	29.0d	derive	red
bdrc-W1FPL113	3293622586	iw801208	29.0d	derive	red
bdrc-W1FPL769	3293622503	iw801705	29.0d	derive	red
bdrc-W1FPL871	3293622131	iw600202	29.0d	derive	red
bdrc-W1FPL411	3293618664	iw803405	29.0d	derive	red
bdrc-W1FPL390	3293617824	iw904605	29.0d	derive	red
bdrc-W1AC330	3293517766	iw800702	29.1d	derive	red
bdrc-W1EAP3740	3293364658	iw804605	29.2d	derive	red
bdrc-W19975	3293332630	iw903405	29.3d	derive	red
bdrc-W1986	3293330972	iw600203	29.3d	derive	red
bdrc-W19961	3293328736	iw902305	29.3d	derive	red
bdrc-W19963	3293328705	iw802606	29.3d	derive	red
bdrc-W19792	3293328276	iw802701	29.3d	derive	red
bdrc-W17209	3293327084	iw902806	29.3d	derive	red
bdrc-W18120	3293327058	iw600208	29.3d	derive	red
bdrc-W13649	3293326570	iw804604	29.3d	derive	red
bdrc-W00EGS1017196	3293324325	iw902903	29.3d	derive	red
bdrc-W00KG03794	3293324262	iw804605	29.3d	derive	red
bdrc-W00EGS1016981	3293324261	iw600702	29.3d	derive	red
bdrc-W00KG03658	3293324015	iw801609	29.3d	derive	red
bdrc-W00EGS1016699	3293322868	iw902605	29.3d	derive	red
bdrc-W00EGS1016750	3293322776	iw903405	29.3d	derive	red
bdrc-W1FEMC047286	3285056451	iw804503	35.6d	derive	red
bdrc-W1FEMC047256	3285049975	iw903405	35.6d	derive	red
bdrc-W1FEMC047246	3285046343	iw903404	35.6d	derive	red
bdrc-W1FEMC047244	3285045472	iw600709	35.6d	derive	red
bdrc-W1FEMC047018	3285021320	iw800709	35.6d	derive	red
bdrc-W1FEMC046659	3284988126	iw903404	35.6d	derive	red
bdrc-W1FEMC046647	3284986062	iw804604	35.6d	derive	red
bdrc-W1FEMC046644	3284984408	iw804503	35.6d	derive	red
bdrc-W1FEMC046616	3284973417	iw804605	35.6d	derive	red
bdrc-W1FEMC046078	3284881908	iw801600	35.7d	derive	red
bdrc-W1FEMC045069	3284881229	iw601606	35.7d	derive	red
bdrc-W1FEMC043655	3284824881	iw600705	35.7d	derive	red
bdrc-W1FEMC043709	3284791779	iw803405	35.8d	derive	red
bdrc-W1FEMC043707	3284788551	iw801703	35.8d	derive	red
bdrc-W1FEMC043679	3284788358	iw802304	35.8d	derive	red
bdrc-W1FEMC043589	3284772155	iw904603	35.8d	derive	red
bdrc-W1FEMC042169	3284746732	iw802304	35.8d	derive	red
bdrc-W1FEMC037454	3281553581	iw804604	37.9d	derive	red
bdrc-W1FEMC037430	3280964335	iw600709	38.3d	derive	red
bdrc-W1FEMC037432	3280959532	iw600407	38.3d	derive	red
bdrc-W1FEMC037431	3280957917	iw600708	38.3d	derive	red
bdrc-W1FEMC037375	3280697826	iw802303	38.6d	derive	red
bdrc-W1FEMC037376	3279928083	iw600801	38.9d	derive	red
bdrc-W1FEMC037378	3279884161	iw800602	38.9d	derive	red
bdrc-W1FEMC037335	3279496493	iw804605	39.2d	derive	red
bdrc-W1FEMC037295	3278822224	iw904503	39.6d	derive	red
bdrc-W1FEMC037163	3278193147	iw802605	40.2d	derive	red
bdrc-W1FEMC037055	3276965567	iw600801	41.2d	derive	red
bdrc-W1FEMC037057	3276653596	iw600700	41.5d	derive	red
bdrc-W1FEMC037056	3276585381	iw600703	41.6d	derive	red
bdrc-W1FEMC020349	3268750313	iw800703	50.1d	derive	red
bdrc-W00KG010089	3267231458	iw903403	52.0d	derive	red
bdrc-W9088	3264108951	iw600801	55.6d	derive	red
bdrc-W8LS20371	3263978606	iw902903	55.7d	derive	red
bdrc-W8LS20329	3263978040	iw902903	55.7d	derive	red
bdrc-W8LS20290	3263977746	iw801703	55.7d	derive	red
bdrc-W8LS20296	3263977636	iw600701	55.7d	derive	red
bdrc-W8683	3263804759	iw902304	55.8d	derive	red
bdrc-W5JW4	3263787813	iw801704	55.9d	derive	red
bdrc-W4CZ74375	3263399625	iw601704	56.2d	derive	red
bdrc-W4CZ332935	3263021376	iw600804	56.6d	derive	red
bdrc-W4CZ20864	3262968428	iw904605	56.7d	derive	red
bdrc-W4CZ1097	3262967096	iw600209	56.7d	derive	red
bdrc-W1PD96682	3262832514	iw800208	56.8d	derive	red
bdrc-W3CN7776	3262751198	iw802604	56.9d	derive	red
bdrc-W3CN6621	3262604323	iw903405	57.0d	derive	red
bdrc-W3CN5519	3262356901	iw903404	57.3d	derive	red
bdrc-W3CN554	3262355987	iw801804	57.3d	derive	red
bdrc-W3CN5348	3262304760	iw902902	57.4d	derive	red
bdrc-W3CN5330	3262304541	iw902303	57.4d	derive	red
bdrc-W3817	3261853917	iw601703	57.8d	derive	red
bdrc-W30397	3261832056	iw601705	57.9d	derive	red
bdrc-W30016	3261746409	iw800706	57.9d	derive	red
bdrc-W30014	3261739527	iw600804	57.9d	derive	red
bdrc-W2PD19399	3261580737	iw800707	58.1d	derive	red
bdrc-W2PD17397	3261311281	iw802305	58.3d	derive	red
bdrc-W2PD16798	3261218370	iw601907	58.4d	derive	red
bdrc-W2PD16796	3261217248	iw600803	58.4d	derive	red
bdrc-W2PD16797	3261217220	iw600709	58.4d	derive	red
bdrc-W2MS811	3261173540	iw801704	58.5d	derive	red
bdrc-W2MS2274	3261173251	iw802700	58.5d	derive	red
bdrc-W20813	3260906348	iw800701	58.8d	derive	red
bdrc-W1PD166109	3260596487	iw601608	59.0d	derive	red
bdrc-W2DB4626	3260370393	iw800701	59.2d	derive	red
bdrc-W2DB4593	3260345602	iw800704	59.3d	derive	red
bdrc-W2DB4573	3260229976	iw600404	59.4d	derive	red
bdrc-W1KG881	3259417358	iw904603	60.1d	derive	red
bdrc-W1KG17605	3259349118	iw902902	60.2d	derive	red
bdrc-W2DB25449	3259003476	iw803404	60.6d	derive	red
bdrc-W2CZ8064	3258962159	iw804503	60.6d	derive	red
bdrc-W2CZ7868	3258956222	iw802305	60.6d	derive	red
bdrc-W2CZ6779	3258952863	iw804503	60.6d	derive	red
bdrc-W2CZ6656	3258952381	iw902303	60.6d	derive	red
bdrc-W2CZ6604	3258951732	iw902901	60.6d	derive	red
bdrc-W2CZ6602	3258951505	iw902604	60.6d	derive	red
bdrc-W2CZ6238	3258951388	iw804504	60.6d	derive	red
bdrc-W2CZ5668	3258950398	iw801804	60.6d	derive	red
bdrc-W29980	3258948066	iw800704	60.6d	derive	red
bdrc-W29978	3258947464	iw902707	60.6d	derive	red
bdrc-W29975	3258946046	iw902900	60.6d	derive	red
bdrc-W29246	3258804360	iw803403	60.7d	derive	red
bdrc-W29011	3258767219	iw800701	60.7d	derive	red
bdrc-W28983	3258762801	iw600803	60.7d	derive	red
bdrc-W27499	3258670567	iw803405	60.8d	derive	red
bdrc-W27413	3258661570	iw600102	60.8d	derive	red
bdrc-W27318	3258660063	iw903405	60.8d	derive	red
bdrc-W25815	3258637499	iw600707	60.8d	derive	red
bdrc-W25102	3258624849	iw902604	60.8d	derive	red
bdrc-W24886	3258618310	iw600403	60.8d	derive	red
bdrc-W24036	3258559188	iw600807	60.9d	derive	red
bdrc-W24034	3258559071	iw601705	60.9d	derive	red
bdrc-W24029	3258558950	iw902901	60.9d	derive	red
bdrc-W23882	3258554229	iw601609	60.9d	derive	red
bdrc-W23690	3258537208	iw800602	60.9d	derive	red
bdrc-W23567	3258515515	iw600801	60.9d	derive	red
bdrc-W23435	3258503316	iw801207	61.0d	derive	red
bdrc-W23345	3258501911	iw902903	61.0d	derive	red
bdrc-W22393	3258493500	iw804604	61.0d	derive	red
bdrc-W21953	3258411439	iw802700	61.1d	derive	red
bdrc-W21865	3258407890	iw804505	61.1d	derive	red
bdrc-W21810	3258396670	iw802606	61.1d	derive	red
bdrc-W21784	3258392631	iw802304	61.1d	derive	red
bdrc-W21747	3258391050	iw902707	61.1d	derive	red
bdrc-W21016	3258364653	iw801705	61.1d	derive	red
bdrc-W20097	3258319793	iw601606	61.1d	derive	red
bdrc-W1PD90033	3258295156	iw902903	61.2d	derive	red
bdrc-W1PD83960	3258251825	iw800405	61.2d	derive	red
bdrc-W1PD76232	3258215787	iw902901	61.3d	derive	red
bdrc-W1PD45095	3258203889	iw800704	61.3d	derive	red
bdrc-W1KG9980	3257493172	iw802605	62.0d	derive	red
bdrc-W1KG89148	3257489658	iw601908	62.0d	derive	red
bdrc-W1KG802	3257473023	iw800309	62.0d	derive	red
bdrc-W1KG5705	3257441940	iw600702	62.1d	derive	red
bdrc-W1KG5665	3257438291	iw800209	62.1d	derive	red
bdrc-W1KG5182	3257426921	iw600207	62.1d	derive	red
bdrc-W1KG13617	3255593181	iw902904	63.6d	derive	red
bdrc-W1KG12986	3255583036	iw800705	63.6d	derive	red
bdrc-W1FEMC030236	3255565205	iw803405	63.6d	derive	red
bdrc-W2CZ7914	3224079774	iw802603	85.1d	derive	red
bdrc-W2CZ6771	3224075085	iw904605	85.1d	derive	red
bdrc-W2CZ6767	3224074537	iw600705	85.1d	derive	red
bdrc-W2CZ5987	3224073317	iw600205	85.1d	derive	red
bdrc-W2CZ5669	3224072641	iw801703	85.1d	derive	red
bdrc-W2CZ5667	3224071725	iw801601	85.1d	derive	red
bdrc-W28960	3224038992	iw600406	85.1d	derive	red
bdrc-W23933	3224014838	iw600700	85.1d	derive	red
bdrc-W23993	3224014609	iw601704	85.1d	derive	red
bdrc-W23828	3224014347	iw600403	85.1d	derive	red
bdrc-W23898	3224013579	iw803403	85.1d	derive	red
bdrc-W23871	3224012839	iw600708	85.1d	derive	red
bdrc-W23637	3223998502	iw601908	85.2d	derive	red
bdrc-W23635	3223997225	iw600207	85.2d	derive	red
bdrc-W23633	3223995046	iw902806	85.2d	derive	red
bdrc-W23450	3223983623	iw600708	85.2d	derive	red
bdrc-W22200	3223936427	iw601907	85.2d	derive	red
bdrc-W21950	3223922461	iw600705	85.2d	derive	red
bdrc-W21894	3223914074	iw600803	85.2d	derive	red
bdrc-W21026	3223883786	iw601704	85.2d	derive	red
bdrc-W1KG988	3223519854	iw904503	85.5d	derive	red
bdrc-W1KG4218	3223421837	iw904605	85.6d	derive	red
bdrc-W1AC408	3217055884	iw902709	91.0d	derive	red
bdrc-W1FEMC034094	3211496635	False	94.9d	derive	red
bdrc-W28948	3078219051	iw903403	178.2d	derive	red
bdrc-W1FEMC020153	3026284140	False	207.1d	derive	red
bdrc-W3CN26879	2902133801	False	261.7d	derive	red
bdrc-W3CN26813	2902117834	False	261.7d	derive	red
bdrc-W1PD137854	2901088759	iw903403	262.0d	derive	red
bdrc-W20077	2869349803	iw802701	274.8d	derive	red
bdrc-W4CZ309048	2866194374	iw601803	276.2d	derive	red
bdrc-W28391	2866163151	False	276.2d	derive	red
bdrc-W29338	2849719046	False	283.1d	derive	red
bdrc-W23947	2849718113	iw903405	283.1d	derive	red
bdrc-W23705	2849718038	False	283.1d	derive	red
bdrc-W23613	2849717407	False	283.1d	derive	red
bdrc-W00KG02689	2195001512	iw902603	1.6y	derive	red
bdrc-W30296	2194991736	iw800706	1.6y	derive	red
bdrc-W00KG02634	2194857517	iw801207	1.6y	derive	red
